titulo,preco,area,quartos,banheiros,garagem,endereco,UF,cidade,tipo_imovel
Apartamento com 3 Quartos à Venda com 111m²,2129578.0,111,3,2,2,"Moema, São Paulo - SP",SP,São Paulo,Apartamento
Apartamento com 2 Quartos à Venda com 67m²,480000.0,67,2,2,1,"Avenida Coronel Teixeira, 22 - Ponta Negra, Manaus - AM",AM,Manaus,Apartamento
Apartamento com 2 Quartos à Venda com 59m²,690060.0,59,2,1,5,"Praia dos Carneiros, Tamandaré - PE",PE,Tamandaré,Apartamento
Casa de condomínio com 2 Quartos à Venda com 49m²,338000.0,49,2,1,1,"Avenida Professor Daijiro Matsuda, 540 - Maracanã, Praia Grande - SP",SP,Praia Grande,Casa
Casa com 3 Quartos à Venda com 125m²,785000.0,125,3,1,6,"Rua Piracaia - Vila Floresta, Santo André - SP",SP,Santo André,Casa
Casa de condomínio com 6 Quartos à Venda com 500m²,2900000.0,500,6,2,4,"Condominio Jardim das Palmeiras, Bragança Paulista - SP",SP,Bragança Paulista,Casa
Casa com 2 Quartos à Venda com 101m²,810000.0,101,2,2,2,"Pontal de Santa Marina, Caraguatatuba - SP",SP,Caraguatatuba,Casa
Apartamento com 3 Quartos à Venda com 71m²,690000.0,71,3,1,1,"Vila Boa Vista, Barueri - SP",SP,Barueri,Apartamento
Casa de condomínio com 3 Quartos à Venda com 252m²,1100000.0,252,3,5,4,"Condominio Terras do Vale, Caçapava - SP",SP,Caçapava,Casa
Apartamento com Quarto à Venda com 51m²,495000.0,51,1,1,1,"Brooklin, São Paulo - SP",SP,São Paulo,Apartamento
Apartamento com 3 Quartos à Venda com 69m²,260000.0,69,3,2,1,"Heliópolis, Belo Horizonte - MG",MG,Belo Horizonte,Apartamento
Casa com 3 Quartos à Venda com 244m²,890000.0,244,3,3,2,"Vila Antonio Augusto Luiz, Caçapava - SP",SP,Caçapava,Casa
Casa com 2 Quartos à Venda com 120m²,400000.0,120,2,1,2,"Rua São Paulo, 555 - Alterosas, Serra - ES",ES,Serra,Casa
Casa com 3 Quartos à Venda com 81m²,550000.0,81,3,1,2,"Jardim Satélite, São José dos Campos - SP",SP,São José dos Campos,Casa
Casa com 4 Quartos à Venda com 820m²,3000000.0,820,4,4,4,"Morumbi, São Paulo - SP",SP,São Paulo,Casa
Apartamento com 3 Quartos à Venda com 116m²,800000.0,116,3,4,2,"Rua Pontes Correia, 73 - Tijuca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 4 Quartos à Venda com 260m²,3500000.0,260,4,6,3,"Avenida Jardins de Santa Mônica, 100 - Barra da Tijuca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com Quarto à Venda com 49m²,350000.0,49,1,1,0,"Avenida Presidente Wilson, 153 - José Menino, Santos - SP",SP,Santos,Apartamento
Apartamento com 2 Quartos à Venda com 81m²,880000.0,81,2,2,1,"Rua Pacheco Leão, 1 - Jardim Botânico, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Casa com 4 Quartos à Venda com 199m²,150000.0,199,4,2,1,"Rua Itália D'Incau, 69 - Tomás Coelho, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Casa
Apartamento com 2 Quartos à Venda com 62m²,738800.0,62,2,2,1,"Avenida Alfredo Alcure, 10 - Jardim Camburi, Vitória - ES",ES,Vitória,Apartamento
Casa de condomínio com 4 Quartos à Venda com 285m²,1680000.0,285,4,4,4,"Rua Doutor Augusto Ricardo Teixeira Castilho, 1 - Vargem Grande, Teresópolis - RJ",RJ,Teresópolis,Casa
